keyword,title,appId,genre,installs,price,free,description,reviews
distraction,Freedom: App & Website Blocker,to.freedom.android2,Productivity,"1,000,000+",0.0,True,"<b><h2>Freedom App Blocker</h2></b>Freedom is the app & website blocker used by over 3 million people worldwide. Use Freedom to temporarily block websites & time-wasting apps to stay focused & be more productive. Take control of your screen time!

If you work from home & want to be more productive, study better, break a phone habit, do a digital detox, or focus on your writing – Freedom’s website & app blocker has got you covered 24x7!

Have ADHD? We understand the challenges faced by individuals with ADHD. Our app blocker and site blocker provide specialized features to support concentration, making tasks more manageable & less overwhelming.

Simply select the apps & websites you want to block & start a Freedom app and website blocker session. If you try to open a blocked app or website during the session, Freedom prevents it from opening.

There's no limit to the number of devices (including Mac, Windows, iOS, and Chrome) you can connect to Freedom’s website & app blocker, so you can block apps, websites & social media wherever you are or whatever you're doing. 

Freedom users report gaining an average of 2.5 hours of productive time every day. 

<i>“Our favorite distraction-killing content blocker.”</i> – Lifehacker

<i>“One antidote to the always-on life is Freedom…”</i>  – Time Magazine

<i>“As Freedom shows, the solution to the problems created by technology isn't anti-technology, but more & better technology.”</i> – Huffington Post

<i>“The granddaddy of the Internet restriction programs, Freedom has garnered celeb fans like Dave Eggers, Nick Hornby, Seth Godin & Nora Ephron.”</i> – Mashable

<b>FREEDOM APP BLOCKER - BLOCK DISTRACTIONS FEATURES</b>

📵<b>STAY FOCUSED</b>
Bid farewell to distractions. Our social media, website & app blocker ensures you remain focused on your tasks, enhancing your concentration & efficiency.

📵<b>DIGITAL DETOX</b>
In the age of constant connectivity, take control of your digital life. Our app encourages mindful phone use, enabling you to detox from the digital world & reclaim your time.

📆<b>SCHEDULING</b>   
Schedule Freedom to run at specific days & times. Block apps & websites at the times you're most vulnerable & build new habits & a new relationship with your phone.

🔗<b>CUSTOM BLOCKLISTS</b> 
Select the distracting & time-consuming apps & websites that you want to block from our lists or create your custom blocklist. Block as many distractions as you’d like, whenever you’d like, for as long as you'd like!
  
📱<b>SYNC ACROSS ALL YOUR DEVICES</b>
Distractions aren’t limited to your phone. Sync your block sessions to your Mac or Windows computer, your Chromebook & your iOS & Android devices. There’s no limit to the number of devices!

🔒<b>LOCKED MODE</b>
Until you’re used to life without distractions, it’s tempting to try and access your go-to game or social app. Enter Locked Mode. Locked Mode keeps you focused. Break your most compulsive habits and addictions.

🎵<b>FOCUS SOUNDS</b>
Free audio tracks give you an assortment of music, café, office & nature sounds to help you stay focused & productive, no matter where you are.

<b>FREEDOM PREMIUM</b>
Start a free trial & install Freedom on as many devices as you'd like & take it for a spin. We're confident you'll love the focus & productivity you experience with Freedom. 

<b>Freedom Premium gives you:</b>
★ Unlimited Sessions & Devices
★ Scheduling – Advance or Recurring
★ Locked Mode
★ Multi-device support (Android, iOS, Mac, Windows & Chrome)
★ Session History & Annotation
★ Block All Except 
★ Freedom Perks - discounts on popular productivity products
★ Focus Sounds & Music

<b>Permissions required:</b>
• Device Administrator: To keep the app active & to prevent uninstallation.
• Accessibility API - To block the apps & websites you choose.  
We do not collect or share any personal or sensitive information provided by Device Administrator or Accessibility API.

<b>Subscription options:</b>
★ $39.99 per year for Freedom Premium","Great app. Recurring Scheduling of time blocks help.... It helps to those who have mobile addictions or ADHD issues. It also has music that aid in focusing. These focus based musical tracts can be used as pomodore technique also. It helps in blocking apps on multiple devices and it can protect children from excessive scrolling on their phones. Self discipline can be formed better when we have put control of our habits in hands of others. The lock mode helps in forming self discipline.
---
Amazing! I LOVE this app for helping me stay on task and focus through my easily distracted, ADHD brain! With how much this app helps me, I feel bad taking a star off, BUT (and Freedom devs, plz hear me out) the Schedule Lock feature could REALLY use a redesign by UX designer IMO. Between the Android app, and the website, there is confusing information on HOW it's supposed to function, and I wasn't sure if I was going to accidentally lock myself out of my Schedules or not. Otherwise it's gr8!"
distraction,Ascent: screen time & offtime,com.ascent,Productivity,"100,000+",0.0,True,"The main goal of Ascent is to build healthy phone usage habits in the long term. Ascent pauses distracting apps giving the ability to avoid procrastination loop from the start. App prevents undesired scrolling through news feeds and short videos. Instead Ascent allows to spend time on mindful working and creating.

Ascent is a powerful and intuitive app blocker that helps you stay focused and combat procrastination. With its advanced blocking and tracking features, Ascent makes it easy to take control of your time and achieve your goals.

<b>Pause Exercise</b>
Ascent makes you take pause before opening a destructing app. Take your time to reflect on whether you really want to open it. You can choose to either close the app or continue using it. This feature helps you to avoid compulsive app opening and makes your phone usage more mindful and reasonable.

<b>Focus Session</b>
Focus Session elevates your productivity by creating a dedicated space with minimized distractions. It temporarily restricts access to specific apps, ensuring your attention stays on the task at hand. This feature helps you stay deeply engaged, promoting a state of flow and maximizing your efficiency.

<b>App Limits</b>
Set daily usage limits on apps and websites to automatically block them and prevent overuse.

<b>Reminder</b>
Reminder helps you regain control over your digital habits by guiding you away from time-consuming apps. Set reminders to activate the Pause Screen, nudging you to step back and break free from unhealthy screen time patterns, fostering a more balanced relationship with your digital environment.

<b>Reels & Shorts Blocking</b>
Completely block specific locations inside configured apps like Instagram Reels or YouTube Shorts to avoid distractions while using them. Using this feature, you will still be able to access the Instagram and YouTube app except the Reels and Shorts sections.

<b>Websites Blocking</b>
Limit websites usage by blocking specific links in your mobile browser.

<b>Intentions</b>
Intentions reshape your interaction with digital distractions by prompting you to pause and state your purpose before using potentially harmful apps. This feature turns impulsive screen time into a deliberate choice, helping you build a more mindful and intentional relationship with your digital habits.

<b>Shortcuts</b>
Shortcuts transform your digital habits by letting you get more done with less taps, streamlining your workflow and minimizing interruptions. Arrange essential apps and links for quick access, so you can retrieve them when needed. By keeping your focus sharp and avoiding distractions, Shortcuts help you stay productive and intentional.

<b>Bookmarks</b>
Bookmarks transform your screen habits by shifting your focus from algorithmic content to what truly matters. Ascent helps you save bookmarks as valuable resources, providing a mindful alternative to chaotic feeds and integrating quality knowledge into your daily routine for a more meaningful and intentional digital experience.

Ascent makes it easy to set up custom blocking schedules and stay on track. You can choose to block apps for a specific period of time or during certain times of the day, and receive notifications when your blocking schedule is about to end or when you're approaching or exceeding your daily limits. This helps you stay aware of your habits and make positive changes to your daily routine.

Keywords: screen time, screen time control, screen time tracker, offtime, appblock, app blocker, websites blocker, block apps & sites, social media blocker, app limiter, self control, focus, stay focused, focus timer, one sec, productivity, opal, procrastination, stop scrolling, forest, pomodoro timer

<b>Accessibility Service API</b>
This app uses the Accessibility Service API to detect and block user-selected applications. We do not collect personal information, all data stays on your phone.","I've never been able to manage my screen time this well. Ascent is the Holy grail for people with ADHD. I'm so glad someone thought of, and made this wonderfull app. Then executed it to perfection. The fact that most features are free is the cherry on top."
distraction,Digital Detox: Focus & Live,com.urbandroid.ddc,Health & Fitness,"1,000,000+",0.0,True,"Disconnect from your phone in order to reconnect with yourself, others, and the world. Start your challenge today!

Are you always on your phone? Do you live with a constant fear of missing out? Do you panic when you have no signal? It’s time for a detox. You can do this. We’re here to help.

Features:
⚫ Limited access to your phone during the challenge
⚫ Multiple difficulty levels with built-in accountability
⚫ Scheduling and whitelisting capabilities
⚫ Achievements and leader board at Play Games

Warning: XioaMi phones requires a special permission in order to open whitelisted apps. Please follow our guide here: https://team.urbandroid.org/ddc-fix-whitelisted-apps-on-xiaomi/

Automation

To start detox automatically from Tasker or similar:
- broadcast
- package: com.urbandroid.ddc
- action: com.urbandroid.ddc.START_DETOX
- time_extra: number of millies

Example:
adb shell am broadcast --el time_extra 60000 -a com.urbandroid.ddc.START_DETOX

Accessibility Service

In order to effectively block you from using the addictive and distracting apps the ""Digital Detox"" app may ask you to enable its Accessibility Service if you decide to use the cheating protection features. We use this service only to block you from leaving an ongoing Detox without paying an accountability fee or using a quit code (the cheating). We do not use the service to collect any personal information.

See how the use of Accessibility Service works in Digital Detox:   
https://youtu.be/XuJeqvyEAYw

Device Admin

If granted by the user, ""Digital Detox"" app may use the Device Administrator permission to (and only to) prevent users from cheating - make uninstalling of the app during an active Detox harder.","I know it's good that I'm mad so I won't take off a star rn. and perhaps this is user error & the developer can assist me...why can't I use my drop down notification/settings menu!? I just want to switch Bluetooth or adjust brightness quickly. my notifications are from allowed use apps too. I just want to stop sitting on my phone watching TV and falling down adhd google rabbit holes like oh! Henry VIII's armor, oh the origins of spankopita, oh the workings of octopus eyes. please god allow menu"
distraction,minimalist phone: Launcher,com.qqlabs.minimalistlauncher,Productivity,"5,000,000+",0.0,True,"<strong>Turn your phone into a minimalist phone. Screen time control and app blocker to stay focused and increase productivity. Boost productive habits, filter notifications, and improve concentration by setting a time limit for apps</strong>

<strong>FAQ:</strong>
• What plans does the minimalist phone offer? You can choose from monthly, annual, or one-time purchase. All 3 plans include a free trial. Please see purchase screen for details.
• How to uninstall the minimalist phone? To go back to your original home screen uninstall the simple phone app by clicking on ""Uninstall"" here in the Play Store.

<h1><b>Features</b></h1>
👍 Minimal or dumb phone interface that supports productivity 
👍 Notification filter - move unimportant notifications out of your sight for improved productivity avoid procrastination.
👍 Customizable color theme, font, and font size, grayscale
👍 App blocker 
👍 Rename apps
👍 Blocking schedules for productivity and focus
👍 Supports work profile apps (install minimalist from non-work profile first)
👍 Monochrome mode (similar to grayscale) - view selected apps in black and white (requires activation on pc)

<h1><b>Use your phone in a mindful way to improve happiness, productivity and stay focused</b></h1>

Open the apps that you need to reduce screen time and avoid distractions. Using the dumb phone launcher with app blocker, grayscale and blank space to develop your own digital detox habits to control your focus and increase productivity.

<h1><b>A minimalist home-screen launcher designed to reduce distractions, increase productivity, and break free of procrastination. Your launcher for digital detox</b></h1>

The minimalist launcher allows you to block and hide undesired apps and notifications to avoid unwanted activity. Set a time limit or activate the app blocker to help you decrease screen time and start your digital detox with your dumb phone

minimalist launcher and dumb phone is designed to direct your focus on your most productive apps, and help with productivity and digital detox. Its app blocker feature, grayscale, blank space will help you focus, increase productivity, reduce screen time and stay away from social media and distractions. Your dumb phone launcher

<h1><b>Screen time control (not the other way around) to live a happier life</b></h1>
minimalist phone will become your new home screen and help you limit app usage in a positive way. Your dumb phone launcher with grayscale, blank space and app blocker for your digital detox

Reduce screen time by using our dumb phone launcher and app blocker. Or set a time limit to reduce screen time, improve concentration. Simple Phone launcher and Digital Detox app

Start by replacing your current home-screen (launcher) with our minimal launcher. This dumb phone helps you reduce your screen time with a time limit. The minimalist phone launcher is more than just an app theme or home screen - hide apps, rename apps and restrict addictive apps and games and use grayscale and blank spaces

<h1><b>No distraction interface that supports productivity, positive habits, and happiness</b></h1>
Phone addiction can affect your physical and mental health, your relationships and productivity - do digital detox to avoid procrastination and stay focused. Start feeling the benefits of app detox immediately. This minimalist launcher app or dumb phone launcher can help you use your device in a mindful way by increasing your focus and encouraging positive habits.*.
*applies to dark theme and OLED displays.

minimalist launcher may use Accessibility services for in-app reminder and blocking. No personal information provided by accessibility services is collected.

By downloading or installing minimalist phone you agree to <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.minimalistphone.com%2Fterms-conditions&sa=D&sntz=1&usg=AOvVaw2LM0V5VDFldNq7kE8h89kn"">Terms of Service</a> and <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.minimalistphone.com%2Fprivacy-policy&sa=D&sntz=1&usg=AOvVaw0bDgIHaUXpqAaAyIbgo6_i"">Privacy Policy</a>.","So helpful, my screen time has cut down so much. It perfectly corrects my adhd tendency to open social media and start scrolling before I've even made the conscious choice to do so. I love it!
---
Absolute life saver helps my ADHD Autism"
distraction,Finch: Self-Care Pet,com.finch.finch,Health & Fitness,"5,000,000+",0.0,True,"Meet your new self-care best friend! Finch is a self-care pet app that helps you feel prepared and positive, one day at a time. Take care of your pet by taking care of yourself! Choose from a wide variety of daily self-care exercises personalized for you.

BEST DAILY SELF-CARE TRACKER ✨
Is self-care a chore? Struggling with habits, self-love, or depression? Self-care finally feels rewarding, lightweight, and fun with Finch. Complete quick self-care exercises to grow your pet, earn rewards, and improve mental health! People who struggle with mood journaling, habits, and depression found it easier to be mindful with their self-care pet in Finch!

EASY DAILY CHECK INS ✏️
• Start mornings with quick mood checks and energize your pet to go exploring! Choose from various mindful habits from goal tracking and mood journaling to mindful breathing exercises and quizzes!
• End days in moments of gratitude with your self-care pet where they'll return from adventures to share stories with you! Recognize positive moments and grow your self-love.

MINDFUL HABITS 🧘🏻
Finch is the fun self-care tracker to hit goals and sustain healthy habits! Build mental resilience against stress, anxiety, and depression. Strengthen your mental health by increasing self-love and gratitude. 

• Habit Tracker: set goals and celebrate wins for healthy habits.
• Mood Journal: guided mood journal to clear the mind, track important moments, and practice self-love.
• Breathing: guided breathing to calm nerves, increase focus, energize your mind, and sleep better.
• Quizzes: understand your mental health with quizzes for anxiety, depression, body image appreciation, and more.
• Mood Tracker: quick mood checks with mood trends to understand what has been lifting you up or bringing you down.
• Quotes: motivational quotes to lift your mood and gain new perspective.
• Insights: get insights on your mental health from combined analytics on your mood journaling, tags, goal tracker, and quizzes.

SAY HI 👋🏼
• TikTok: https://www.tiktok.com/@finchcare
• Discord: https://discord.gg/finchfam
• Instagram: https://www.instagram.com/finchcare/
• Facebook: https://facebook.com/groups/finchfam
• Email: support@befinch.com","I really enjoy this app. Finch helps with my ADHD brain. I can organize my day and goals in a fun way!
---
I've never loved an app as much as I do this one. Executive dysfunction from Adhd can TAKE A HIKE!
---
i have adhd and this app has truly changed my life. i think it would be nice if like. tasks you have set to notify had a button you could click to complete it from the notification? and maybe if (in addition to general stats tagged by keywords) we could view completion percentage rate per individual task? idk just a thought honestly. keep up the lovely work devs! from me and mint chip to you <3
---
I've been using this app for almost a year and I just love it. It's been really helpful with my ADHD, anxiety, depression, and OCD. Highly recommend, and you can enjoy it without spending money.
---
I've used it a couple days now, and it's really helping me remember all the small things that my ADHD normally has me forgetting. I love the little outfits and decorating options you get for your birb.
---
exactly what I needed. perfect for adhd
---
brilliant for people with attentive adhd"
addiction,OpenRecovery: Addiction Help,com.twelve_steps.twelve_steps,Health & Fitness,"10,000+",0.0,True,"Welcome to OpenRecovery, your comprehensive recovery companion featuring Kai, your personal AI Recovery Assistant. OpenRecovery makes recovery accessible, inclusive, and effective—no matter your chosen recovery path or your stage in the journey.

OpenRecovery supports a diverse array of recovery methodologies, including the 12 Steps, SMART Recovery, and Cognitive Behavioral Therapy (CBT). Whether you're actively involved in a specific program, newly exploring recovery, supporting someone you care about, or you're a professional counselor or coach seeking effective tools, OpenRecovery provides personalized resources and guidance tailored to your needs.

Kai offers compassionate, intelligent assistance, answering your questions and guiding you at any stage of your recovery journey—providing continuous support exactly when you need it most.

Key Features:

Enhanced Kai AI Recovery Assistant: Intuitive conversations, personalized guidance, and non-judgmental support tailored precisely to your recovery journey.

Comprehensive Recovery Exercises:

12 Steps: Easily access essential tools like Inventories, Step Work, and Daily Reflections directly via the ""Tools"" icon.

SMART Recovery: Utilize Kai-powered exercises including Cost-Benefit Analysis, Hierarchy of Values, Change Plan Worksheets, and other SMART Recovery tools.

Cognitive Behavioral Therapy (CBT): Access resources and exercises designed to challenge and manage negative thoughts, emotional triggers, and behaviors.

Self-Discovery Journals: Engage deeply with interactive journals that explore your relationships, motivations, values, gratitude, habits, goals, fears, and triggers to foster personal growth.

Support for Allies and Professionals: Specialized tools and resources designed explicitly for friends, family members, and professionals who support others' recovery journeys, offering practical guidance and insights.

Extensive Recovery Resources Library: Comprehensive access to foundational texts and resources such as the AA Big Book, SMART Recovery manuals, CBT workbooks, meditation guides, and numerous self-reflection tools.

Personalized Action Plans: Create and follow customized recovery plans aligned precisely with your selected methodology, supported by Kai’s personalized recommendations and intelligent reminders.

Guided Video Tutorials: Step-by-step visual instruction to maximize the benefits of Kai’s powerful tools and to optimize your user experience.

Enhanced Milestone and Daycount Tracking: Accurately monitor and celebrate multiple recovery milestones, fostering a strong sense of progress and achievement.

Accountability Partner Integration: Effortlessly share updates, manage recovery actions, and maintain clear, supportive connections with sponsors, mentors, counselors, and trusted allies.

Premium Access: Enjoy unlimited use of Kai’s expansive array of exercises, recovery tools, accountability features, and insightful progress analytics with a 14-day free trial.

In Addition to SMART Recovery and CBT Methodologies, Specific 12 Step Recovery Programs Supported Include:

• Alcoholics Anonymous (AA)
• Narcotics Anonymous (NA)
• Gamblers Anonymous (GA)
• Overeaters Anonymous (OA)
• Sex and Love Addicts Anonymous (SLAA)
• Sex Addicts Anonymous (SAA)
• Debtors Anonymous (DA)
• Marijuana Anonymous (MA)
• Cocaine Anonymous (CA)
• Al-Anon / Alateen
• Adult Children of Alcoholics (ACA)
• Co-Anon
• Co-Dependents Anonymous (CoDA)
• Co-Sex and Love Addicts Anonymous (COSLAA)
• Emotions Anonymous (EA)
• Gam-Anon / Gam-A-Teen
• Heroin Anonymous (HA)
• Nar-Anon
• Sexaholics Anonymous (SA)
• Sexual Compulsives Anonymous (SCA)
• Rageaholics Anonymous (RA)
• Underearners Anonymous (UA)
• Workaholics Anonymous (WA)
• Crystal Meth Anonymous (CMA)

Coming Soon: Refuge Recovery, Dharma Recovery, Celebrate Recovery

OpenRecovery continues to evolve, driven by the community’s diverse needs, ensuring everyone can find personalized, effective tools and support for lasting recovery.","The ease of which I can make my nightly inventory is amazing. It is like talking to a person, and I get a wonderful summary at the end that I can share with either my sponsor or my therapist or both. And, this app helps me track my progress which can be difficult for me to do by myself since I struggle with ADHD."
motivation,Fabulous Daily Routine Planner,co.thefabulous.app,Health & Fitness,"10,000,000+",0.0,True,"Welcome to the world of Fabulous. Unlock the power of habits and routines. Prioritize your mental health, build healthy habits and improve your life one step at a time. Fabulous started as a habit tracker, but it evolved into self-improvement, coaching, and mental health platform. Our goal is to make healthy routines an inseparable part of your life. Take care of yourself and be the driver of your lifestyle change with Fabulous!

- How does Fabulous work?
1 - Add structure to your life - Improve your life with a healthy morning routine that provides a system for your everyday life.
2 - Create healthy habits - Use a daily planner to remember important tasks. Your habits sculpt the person you will become — choose them wisely.
3 - Focus on deep work - Learn how to tune out all the noise and concentrate on the task at hand. 
4 - Join a community - Live challenges will introduce you to other Fabulous members from around the world embarking on the same journey as you. Find motivation connecting with hundreds of members all across the globe. 
5 - Learn how to be grateful - Keep your gratitude journal and listen to positive daily affirmations. 

Fabulous is an all-in-one routine & self-care app for everyday life:
– Listen to daily coachings
– Write your to-do list 
– Journal your thoughts
– Do short workouts and breathing exercises
– Listen to daily affirmations and meditation sessions
– Keep your gratitude journal
– Monitor your mental wellbeing
– Use the goal-tracker to monitor progress
 
Upgrade your planner for exciting additional features that will take the habit tracking to a new level. Achieve your health and productivity goals today with science-proven features:
– Coaching series grouped by topics: anxiety, self-love, productivity, or depression.
– Unlimited habits for your morning and evening routines.
– New Premium Journeys for better mental health, self-care, and fitness.
– Personal one-on-one coaching for better motivation and focus.
 
Top 4 reasons to try the Fabulous app: 
1 - Need the motivation to build an indestructible morning routine?
2 - Have an irregular sleep cycle and want to learn how to get a good sleep?
3 - Want to increase your energy level so you focus the entire day?
4 - Want to improve your mental health through mindfulness so you can cope with anxiety?


Fabulous is recognized by top mental health experts, behavioral scientists, coaches, and, most importantly, our members. Scientifically proven, morning routines are essential to a successful life. No excuses! Start changing your life today and save money using behavioral science. Install Fabulous to get personalized daily habits and achieve your goals. Build and track your habits, set goals, learn how to meditate, and build healthy routines. Your journey to self-improvement and better mental health starts today!

If you have any questions, visit our website at www.thefabulous.co and click ""Contact Us"" at the bottom of the page.

<i>This day will come and go. That much is certain.
Making it count? Well, that's up to you!</i>","this app drives me crazy. there's way too much going on. pop-ups galore, go here, do this, download these other apps! this is exactly what people with ADHD and anxiety DON'T need.
---
what even is this? I feel like inwas tricked to download.something that would help.with ADHD, it's an adhd NIGHTMARE. I cancelled the free trial but they have just taken £40.99 from my bank account!!! I am a single mum I feel sick to my stomach I can't afford this!! Way to help people with problems obtain more problems
---
Pros: • A lot of content for cheap Cons: • Poor app design • Too cluttered • Overstimulating for ppl w/ ADHD • Too slow in some parts (e.g., reading the contract, going into 3 different sub-menus, listening to the person talk — no speed control) • Canceling the subscription puts you through a nightmare • Spams you with random pop-ups • Seemingly have bad intentions
---
pretty cool concepts for this app but I feel like it's a little too much going on for me and being so ADHD and I also cannot afford to pay for it I feel like it's way too expensive
---
Really good app. Really happy that the core experience isn't locked behind a paywall. I believe you can progress through the journeys without having to pay (so far at least). If that's the case, I'll be really impressed. I will be purchasing premium at some point, the price isn't bad, the ADHD app is a bit rich for my taste, especially since I would end up having 2 subs, which really isn't worth it, maybe work out a discount for more apps in the ecosystem."
motivation,Daily Affirmations: Motivation,com.daily.affirmations.motivation.positive.quotes.free,Lifestyle,"100,000+",0.0,True,"Daily Affirmations: Motivation makes it easy to integrate positive affirmations into your daily life, providing motivation and fostering self-love.

Receive daily affirmations tailored to focus on positive thinking.  Achieve your goals and desires with the power of positive affirmations. Take control of not only how you feel, but also what you do by aligning your thoughts and actions. Release worry and outdated thinking patterns to make room for a more positive mindset and behavior. Customize your daily affirmations and quotes based on different areas such as love, wealth, success, motivation, stress and anxiety reduction, self-love, and health to suit your personal needs and develop a positive mindset.

Harness the scientifically proven benefits of positive affirmations and integrate them seamlessly into your daily life.

Improve your mood by regularly repeating affirmations with this app to counter sabotaging self-talk, beliefs, and behaviors. Transform negative thought patterns into positive ones.
Cultivate a positive mindset and beliefs by influencing your subconscious, and it will begin implementing a positive pattern in your way of thinking.
Concentrate on your goals and increase goal achievement by maintaining a persistent focus on your objectives.
Embrace the person you aspire to be by fostering positive self-image, self-confidence, and self-love.

Take action and motivate yourself to pursue your goals, reinforcing your commitment to continued action.
The app allows you to select the type of affirmation of the day you want to receive and adjust your daily intentions accordingly. Set reminders throughout the day or add them to your calendar for an extra motivational boost before important events. Positive affirmations encourage you to embody your beliefs, boosting motivation and self-love. The quotes app also helps you establish routines for practicing daily affirmations.

Backed by neuroscience, positive affirmations offer various benefits, including stress reduction, improved academic performance, lifestyle improvements, and positive changes in physical behavior. Daily affirmations contribute to increased resilience, optimism, self-esteem, and overall healing.

Daily Affirmations: Motivation is a free app that you can use without the internet. Download it and get motivation and positive quotes every day.","This app has really helped me on my journey to better self-esteem. I love the simplicity of it, the calming aesthetic, and I really appreciate that it's free to use and ad-free -- very ADHD and budget friendly! I highly recommend it for anyone trying to start doing daily affirmations."
motivation,Motivated: Habit Tracker,com.motivated.app,Productivity,"100,000+",0.0,True,"Motivated – the ultimate habit tracker for your journey to success. Motivated will help you build good habits and quit the bad ones. Unlike other habit trackers, Motivated focuses on Habit Strength, not streaks, keeping you on track indefinitely.

BUILD GOOD HABITS
It's easier than ever with our Habit Strength Meter. Stop being demotivated by a broken streak and start focusing on metrics that matter.

QUIT BAD HABITS
A special tracking mode that auto-completes your habits at the end of the day, so you don't have to do it manually.

INTERACTIVE WIDGETS
View and complete your habits right from the home screen. It's super easy and super fast.

DETAILED STATISTICS
Stay on top of your performance with powerful statistics. Progress is what keeps us going.

CUSTOMIZABLE
Make every habit your own with over 550 custom icons and every color imaginable.

POWERFUL
Feel free to adjust your goals and repeat intervals without affecting your statistics.

RICH TEXT NOTES
Add rich text notes to all your habits. Plan your gym routines, keep track of your reading list, or capture your thoughts.

REMINDERS
Add habit reminders and opt in for morning and evening summaries, so you never miss a thing.

Feel free to contact us anytime at hello@motivatedapp.io

Privacy Policy: https://motivatedapp.io/privacy-policy
Terms and Conditions: https://motivatedapp.io/terms-and-conditions","A very neat app especially for my ADHD brain. Is there any kind of API that could be used to access and display my tasks via a smart display? Any intent for ""goals""? Like weight goal, or killing a habit for X amount of days?"
self-control,Breeze: Start Self-Discovery,com.basenjiapps.breeze,Health & Fitness,"1,000,000+",0.0,True,"Welcome to Breeze, your daily companion on the path to self-discovery!
We believe that understanding your true self is the key to a mindful, fulfilling life.

Here’s what Breeze has to offer for your personal growth:

Get Inspired with Your True Potential:
Break free from endless self-comparisons and focus on what makes you unique. 
Discover:
- Your natural strengths
- Dominant personality traits
- Communication styles
- Your ideal career path and more

Find Daily Joy with Tailored Routine Plan:
Knowledge alone isn’t enough—action is the bridge to change. Breeze helps you bring joy and productive habits into your daily life.

Grow Together with Friends
Great journeys are better with great company! Create a safe space to connect with friends, explore each other’s personalities, and foster deeper relationships.

Subscription Options
Breeze offers flexible plans to suit your needs:
Weekly: $8.49 with a 3-day free trial
Monthly: $11.99 with a 7-day free trial
Annual: $29.99 with a 7-day free trial

Important Details:
Subscriptions automatically renew unless canceled at least 24 hours before the current period ends.
Your account will be charged for renewal within 24 hours before the end of the current period.
Payment is charged to your iTunes Account upon purchase confirmation.
Unused portions of a free trial are forfeited upon subscription purchase.

Manage your subscription anytime in your Account Settings.
Privacy Policy: https://basenjiapps.com/docs/privacy_policy
Terms of Use: https://basenjiapps.com/docs/terms_of_use

Breeze is here to help you uncover your best self. Let’s begin!",I haven't used it for long but i like the way its accustomed to people with adhd to make testing less distressing (with breaks and bits of information)
